t	pi	freq
9820000	0.195176	0.1096
9840000	0.0418841	0.0214
9860000	0.0166589	0.0084
9880000	0.00419118	0.0021
9900000	0.460069	0.3587
9920000	0.0557526	0.0287
9940000	0.168702	0.093
9960000	0	0
9980000	0.0305195	0.0155
10000000	0.42395	0.305
10020000	0.13209	0.9289
10040000	0.159192	0.0872
10060000	0	0
10080000	0.3482	0.7755
10100000	0.0422669	0.9784
10120000	0.0365081	0.9814
10140000	0.0692224	0.9641
10160000	0.392723	0.7316
10180000	0.481606	0.5959
10200000	0.00379278	0.0019
10220000	0.332611	0.2107
10240000	0.00059982	0.0003
10260000	0.473779	0.6145
10280000	0.0341945	0.0174
10300000	0.3753	0.2503
10320000	0.499408	0.4828
10340000	0.214685	0.1223
10360000	0.00339422	0.0017
10380000	0.00139902	0.0007
10400000	0.289789	0.8242
10420000	0	1
10440000	0.0407347	0.9792
10460000	0.00019998	0.9999
10480000	0.0514061	0.9736
10500000	0.003992	0.998
10520000	0.149716	0.9185
10540000	0.156877	0.9142
10560000	0.0121256	0.9939
10580000	0.101275	0.9465
10600000	0.0307133	0.9844
10620000	0.201236	0.8865
10640000	0.0182307	0.9908
10660000	0.0318751	0.9838
10680000	0.0148875	0.9925
10700000	0.0632614	0.9673
10720000	0.00876128	0.9956
10740000	0.00359352	0.9982
10760000	0.0418841	0.9786
10780000	0.0121256	0.9939
10800000	0.00059982	0.9997
10820000	0.001998	0.999
10840000	0.34376	0.7795
10860000	0.0162655	0.0082
10880000	0.0135075	0.0068
10900000	0.00339422	0.0017
10920000	0.485686	0.4154
10940000	0.470427	0.3784
10960000	0.17195	0.905
10980000	0.00059982	0.9997
11000000	0.0555641	0.9714
11020000	0	1
11040000	0.465573	0.3688
11060000	0.176148	0.9024
11080000	0.0407347	0.9792
11100000	0.185258	0.8967
11120000	0.499893	0.4927
11140000	0.48	0.6
11160000	0.496927	0.5392
11180000	0.00458942	0.9977
11200000	0.00836472	0.0042
11220000	0	0
11240000	0	0
11260000	0.00079968	0.0004
11280000	0.453243	0.6529
11300000	0.0307133	0.9844
11320000	0.0338083	0.9828
11340000	0.00279608	0.9986
11360000	0.0140992	0.9929
11380000	0.440625	0.6723
11400000	0.00776958	0.9961
11420000	0	1
11440000	0.0121256	0.9939
11460000	0.160677	0.9119
11480000	0.121028	0.9353
11500000	0.446536	0.3365
11520000	0.0655016	0.0339
11540000	0.337778	0.2152
11560000	0.001998	0.001
11580000	0	1
11600000	0.00039992	0.9998
11620000	0.376694	0.2517
11640000	0	0
11660000	0.00019998	0.9999
11680000	0.405822	0.717
11700000	0.00019998	0.0001
11720000	0.221742	0.127
11740000	0.268936	0.1601
11760000	0.0813875	0.0425
11780000	0.159852	0.0876
11800000	0	1
11820000	0.00179838	0.9991
11840000	0.21287	0.8789
11860000	0	1
11880000	0.458873	0.3566
11900000	0.00657822	0.0033
11920000	0.00019998	0.0001
11940000	0	0
11960000	0.0458955	0.0235
