t	pi	freq
24075	0	0
24100	0.00059982	0.0003
24125	0	0
24150	0	0
24175	0	0
24200	0.00019998	0.0001
24225	0	0
24250	0.00039992	0.0002
24275	0	0
24300	0	0
24325	0	0
24350	0.00019998	0.0001
24375	0.00059982	0.0003
24400	0	0
24425	0	0
24450	0.00059982	0.0003
24475	0	0
24500	0	0
24525	0	0
24550	0	0
24575	0.00019998	0.0001
24600	0.00179838	0.0009
24625	0	0
24650	0	0
24675	0.00039992	0.0002
24700	0	0
24725	0.0009995	0.0005
24750	0	0
24775	0	0
24800	0.00019998	0.0001
24825	0	0
24850	0	0
24875	0	0
24900	0	0
24925	0.00039992	0.0002
24950	0	0
24975	0.00019998	0.0001
25000	0	0
25025	0	0
25050	0	0
25075	0	0
25100	0	0
25125	0.00019998	0.0001
25150	0	0
25175	0	0
25200	0.00019998	0.0001
25225	0.00019998	0.0001
25250	0.00019998	0.0001
25275	0	0
25300	0	0
25325	0	0
25350	0	0
25375	0.00019998	0.0001
25400	0.00019998	0.0001
25425	0	0
25450	0	0
25475	0.00059982	0.0003
25500	0	0
25525	0.00059982	0.0003
25550	0	0
25575	0	0
25600	0	0
25625	0	0
25650	0	0
25675	0	0
25700	0	0
25725	0	0
25750	0	0
25775	0.00019998	0.0001
25800	0.00079968	0.0004
25825	0	0
25850	0.00139902	0.0007
25875	0	0
25900	0	0
25925	0	0
25950	0	0
25975	0	0
26000	0.00019998	0.0001
26025	0	0
26050	0	0
26075	0	0
26100	0	0
26125	0	0
26150	0.00019998	0.0001
26175	0	0
26200	0	0
26225	0.00059982	0.0003
26250	0.00059982	0.0003
26275	0	0
26300	0.00019998	0.0001
26325	0	0
26350	0	0
26375	0.00059982	0.0003
26400	0	0
26425	0.00019998	0.0001
26450	0	0
26475	0.00019998	0.0001
26500	0	0
26525	0.00139902	0.0007
26550	0	0
26575	0	0
26600	0.00019998	0.0001
26625	0	0
26650	0	0
26675	0	0
26700	0.00019998	0.0001
26725	0	0
26750	0	0
26775	0	0
26800	0	0
26825	0	0
26850	0	0
26875	0	0
26900	0.00019998	0.0001
26925	0	0
26950	0	0
26975	0.00039992	0.0002
27000	0	0
27025	0	0
27050	0.00079968	0.0004
27075	0.00039992	0.0002
27100	0	0
27125	0	0
27150	0	0
27175	0	0
27200	0	0
27225	0.00019998	0.0001
27250	0	0
27275	0	0
27300	0.00159872	0.0008
27325	0	0
27350	0.00079968	0.0004
27375	0	0
27400	0	0
27425	0	0
27450	0	0
27475	0	0
27500	0	0
27525	0.00079968	0.0004
27550	0.00039992	0.0002
27575	0.00039992	0.0002
27600	0.00019998	0.0001
27625	0	0
27650	0	0
27675	0.00039992	0.0002
27700	0	0
27725	0	0
27750	0	0
27775	0	0
27800	0	0
27825	0	0
27850	0.00019998	0.0001
27875	0	0
27900	0	0
27925	0	0
27950	0	0
27975	0	0
28000	0.00019998	0.0001
28025	0	0
28050	0	0
28075	0.00039992	0.0002
28100	0.00019998	0.0001
28125	0.00079968	0.0004
28150	0	0
28175	0.00039992	0.0002
28200	0	0
28225	0	0
28250	0	0
28275	0	0
28300	0	0
28325	0.00039992	0.0002
28350	0	0
28375	0	0
28400	0	0
28425	0	0
28450	0	0
28475	0	0
28500	0	0
28525	0	0
28550	0.00039992	0.0002
28575	0	0
28600	0	0
28625	0	0
28650	0	0
28675	0	0
28700	0.00019998	0.0001
28725	0	0
28750	0.0029955	0.0015
28775	0	0
28800	0.00119928	0.0006
28825	0	0
28850	0	0
28875	0.00019998	0.0001
28900	0	0
28925	0.00119928	0.0006
28950	0.00019998	0.0001
28975	0.00059982	0.0003
29000	0	0
29025	0.00019998	0.0001
29050	0	0
29075	0	0
29100	0.00039992	0.0002
29125	0	0
29150	0	0
29175	0	0
29200	0.00019998	0.0001
29225	0	0
29250	0	0
29275	0	0
29300	0	0
29325	0	0
29350	0	0
29375	0.00019998	0.0001
29400	0	0
29425	0.0009995	0.0005
29450	0	0
29475	0	0
29500	0	0
29525	0.00019998	0.0001
29550	0.00059982	0.0003
29575	0	0
29600	0	0
29625	0.00039992	0.0002
29650	0.00019998	0.0001
29675	0	0
29700	0	0
29725	0	0
29750	0	0
29775	0	0
29800	0	0
29825	0	0
29850	0.00039992	0.0002
29875	0.00039992	0.0002
29900	0	0
29925	0	0
29950	0	0
29975	0	0
30000	0.00039992	0.0002
30025	0.00019998	0.0001
30050	0.00019998	0.0001
30075	0.00019998	0.0001
30100	0	0
30125	0.00059982	0.0003
30150	0.00019998	0.0001
30175	0	0
30200	0	0
30225	0.00019998	0.0001
30250	0	0
30275	0	0
30300	0	0
30325	0.00039992	0.0002
30350	0.00079968	0.0004
30375	0	0
30400	0.00039992	0.0002
30425	0	0
30450	0.00059982	0.0003
30475	0	0
30500	0	0
30525	0	0
30550	0	0
30575	0	0
30600	0	0
30625	0	0
30650	0	0
30675	0	0
30700	0	0
30725	0.00019998	0.0001
30750	0	0
30775	0	0
30800	0	0
30825	0	0
30850	0	0
30875	0	0
30900	0	0
30925	0	0
30950	0	0
30975	0.00019998	0.0001
31000	0	0
31025	0	0
31050	0	0
31075	0	0
31100	0	0
31125	0.00139902	0.0007
31150	0.00039992	0.0002
31175	0.00039992	0.0002
31200	0.00019998	0.0001
31225	0	0
31250	0	0
31275	0	0
31300	0	0
31325	0.00019998	0.0001
31350	0	0
31375	0.00019998	0.0001
31400	0	0
31425	0.00139902	0.0007
31450	0	0
31475	0.00019998	0.0001
31500	0	0
31525	0	0
31550	0	0
31575	0	0
31600	0	0
31625	0	0
31650	0	0
31675	0.00079968	0.0004
31700	0.00039992	0.0002
31725	0.00079968	0.0004
31750	0.00039992	0.0002
31775	0.00019998	0.0001
31800	0	0
31825	0	0
31850	0	0
31875	0	0
31900	0	0
31925	0.00019998	0.0001
31950	0	0
31975	0	0
32000	0	0
32025	0	0
32050	0.00179838	0.0009
32075	0	0
32100	0	0
32125	0	0
32150	0.00019998	0.0001
32175	0	0
32200	0	0
32225	0	0
32250	0	0
32275	0	0
32300	0	0
32325	0.00019998	0.0001
32350	0	0
32375	0	0
32400	0	0
32425	0	0
32450	0	0
32475	0	0
32500	0.0009995	0.0005
32525	0.00059982	0.0003
32550	0	0
32575	0.00079968	0.0004
32600	0.00019998	0.0001
32625	0.00019998	0.0001
32650	0	0
32675	0	0
32700	0	0
32725	0	0
32750	0	0
